"runner_id","name","profile_url","nationality","toyko_time","chicago_time","berlin_time","newyorkcity_time","boston_time","london_time","toyko_year","chicago_year","berlin_year","newyorkcity_year","boston_year","london_year"
631652,"Tomas Pacheco 111","/members/profile/pacheco-64/view/","USA",NA,NA,NA,"5:57:19",NA,NA,NA,NA,NA,"2019",NA,NA
541930,"Crystal A'Hearn","/members/profile/ahearn-9/view/","USA",NA,"7:03:34",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
486993,"Halvor Aas","/members/profile/aas-6/view/","NOR",NA,NA,"3:59:05",NA,NA,NA,NA,NA,"2019",NA,NA,NA
111995,"Jan Billy Aas","/members/profile/aas-2/view/","NOR",NA,"3:09:39",NA,"3:40:28",NA,"5:09:57",NA,"2018",NA,"2018",NA,"2019"
39739,"Erik Brechan Aas","/members/profile/aas-1/view/","NOR",NA,NA,"3:46:59",NA,NA,NA,NA,NA,"2018",NA,NA,NA
614758,"Dag Aa","/members/profile/aa-1/view/","NOR",NA,NA,NA,"5:08:15",NA,NA,NA,NA,NA,"2019",NA,NA
270868,"Gro Reinhardt Aas","/members/profile/aas-3/view/","NOR",NA,NA,"3:24:02","3:26:47",NA,"3:26:19",NA,NA,"2014","2014",NA,"2019"
29090,"Tor Fredrik Aas","/members/profile/aas/view/","NOR",NA,NA,"4:22:25",NA,NA,NA,NA,NA,"2018",NA,NA,NA
13855,"Erwin Aa","/members/profile/aa/view/","NED",NA,NA,"5:49:52",NA,NA,NA,NA,NA,"2018",NA,NA,NA
271022,"Martin Aabak","/members/profile/aabak/view/","DEN",NA,NA,"4:17:31","4:11:16",NA,"4:30:31",NA,NA,"2011","2014",NA,"2019"
416255,"Sussi Aabak","/members/profile/aabak-1/view/","DEN",NA,NA,NA,NA,NA,"5:34:00",NA,NA,NA,NA,NA,"2019"
549695,"Tina Torp Aaby","/members/profile/aaby/view/","DEN",NA,"3:50:58",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
176381,"Angela Aadahl","/members/profile/aadahl/view/","USA",NA,NA,NA,"4:43:17",NA,NA,NA,NA,NA,"2018",NA,NA
108560,"Nancy Aadland","/members/profile/aadland/view/","USA",NA,"5:55:35",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
608082,"Niels Aafjes","/members/profile/aafjes/view/","NED",NA,NA,NA,"3:40:23",NA,NA,NA,NA,NA,"2019",NA,NA
638817,"Gemma Aafjes-Hilverdink","/members/profile/aafjes-hilverdink/view/","NED",NA,NA,NA,"4:57:27",NA,NA,NA,NA,NA,"2019",NA,NA
121197,"Peter Aaflaq","/members/profile/aaflaq/view/","USA",NA,"3:42:10",NA,NA,"4:05:22",NA,NA,"2018",NA,NA,"2019",NA
44269,"Pia Marie Aagaard","/members/profile/aagaard-1/view/","DEN",NA,NA,"4:16:29",NA,NA,NA,NA,NA,"2018",NA,NA,NA
27922,"Anne-Katrine Aagaard","/members/profile/aagaard/view/","DEN",NA,NA,"5:28:37",NA,NA,NA,NA,NA,"2018",NA,NA,NA
29668,"Billy Aagaard","/members/profile/aagaard-2/view/","DEN",NA,NA,"5:23:42",NA,NA,NA,NA,NA,"2018",NA,NA,NA
6609,"Mariann Aagesen","/members/profile/aagesen/view/","DEN","5:55:46","6:10:25","5:00:45","4:50:57","6:11:29","4:47:30","2015","2013","2008","2009","2014","2008"
503425,"Mathias Aakre","/members/profile/aakre-3/view/","NOR",NA,NA,"3:18:52",NA,NA,NA,NA,NA,"2019",NA,NA,NA
63747,"Katie Aakre","/members/profile/aakre/view/","USA",NA,"3:28:32",NA,NA,"3:42:09",NA,NA,"2018",NA,NA,"2017",NA
459620,"Blair Aakre","/members/profile/aakre-2/view/","USA",NA,"3:37:05",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
486849,"Venke Hustoft Aaland","/members/profile/aaland-1/view/","NOR",NA,NA,"4:34:31",NA,NA,NA,NA,NA,"2019",NA,NA,NA
168623,"Venke Aaland","/members/profile/aaland/view/","NOR",NA,NA,NA,"4:59:37",NA,NA,NA,NA,NA,"2018",NA,NA
494329,"Steinar Aalbu","/members/profile/aalbu/view/","NOR",NA,NA,"3:09:03",NA,NA,NA,NA,NA,"2019",NA,NA,NA
387290,"Steven Aalders","/members/profile/aalders-2/view/","GBR",NA,NA,NA,NA,NA,"5:21:39",NA,NA,NA,NA,NA,"2019"
628720,"Koen Aalders","/members/profile/aalders-5/view/","NED",NA,NA,NA,"3:55:21",NA,NA,NA,NA,NA,"2019",NA,NA
621168,"Hugo Aalders","/members/profile/aalders-4/view/","NED",NA,NA,NA,"3:59:21",NA,NA,NA,NA,NA,"2019",NA,NA
45836,"Bart Aalderink","/members/profile/aalderink/view/","NED",NA,NA,"4:05:41",NA,NA,NA,NA,NA,"2018",NA,NA,NA
